frame,vx_sp_ma,vy_sp_ma,vz_sp_ma,vx_sp_lp,vy_sp_lp,vz_sp_lp,vx_sift_ma,vy_sift_ma,vz_sift_ma,vx_sift_lp,vy_sift_lp,vz_sift_lp
1,-0.04048048042628888,-0.1008047299650266,0.1252637260006299,-0.04048048042628888,-0.1008047299650266,0.1252637260006299,-2.7505182439905456,-3.447067846380979,1.1880179156791508,-2.7505182439905456,-3.447067846380979,1.1880179156791508
2,-0.04146585119200799,-0.14920532690168814,0.09569053062042641,-0.04087462873257652,-0.12016496873969122,0.11343444784854852,0.6120351183556703,-2.5207201700146897,0.35604039081567174,-1.4054968990520593,-3.076528775834464,0.8552269057337593
3,-0.03972428738198589,-0.17741281662952266,0.07212262148718261,-0.03994793493844956,-0.1428975342087913,0.09574491892297782,0.5420624401438183,-1.2511230578041783,0.2866266369553771,-1.0439741024976246,-2.2036087873442023,0.7137413504339649
4,-0.03370882335621245,-0.2029993274249767,0.049297910293009006,-0.03509083420653807,-0.17026979932930084,0.0727606904804799,1.4431115886635695,-0.6359975916216514,0.13065232608639582,-0.005927475153535089,-1.521011268490176,0.5035389590430625
5,-0.0315746650628387,-0.22428279995520528,0.030287505335876173,-0.0326802737430992,-0.19809917747866462,0.04905772948585289,1.0905918118910405,-0.9014333338444137,-0.010778054974849672,-0.0686394391626431,-1.6094442753392335,0.2875312513904837
6,-0.025865730205117843,-0.24386464798706145,0.020905255180054868,-0.025608430177782072,-0.22683411961220018,0.03404498446887198,0.9849986085004693,-0.1572416656409812,0.012825788965089938,0.036494966979408135,-0.5748120851961505,0.25619400284534455
7,-0.024061554922765134,-0.25990651414233307,0.015099868408218127,-0.023134044787955436,-0.2526988379045527,0.023289497130537122,1.0553107492468674,-0.06603089259329785,0.03074710998885038,0.32463269232857767,-0.36360291901835995,0.23261020950255826
8,-0.011973231205725006,-0.30011903898624304,-0.004606310165362297,-0.009679678711765944,-0.2786175510981215,0.016095692901543085,1.2939868782860395,-0.12964461035350425,-0.12027759101320148,0.043749085719594016,-1.0693551093551728,0.21225716933500421
9,-0.0022380487285664124,-0.3260619807759158,-0.016870565517223046,-0.002604731892936146,-0.298735344151709,0.008930063876674004,1.0438990045177252,-0.427945811597719,-0.04652666831490545,0.47979394144041276,-1.591980267955719,0.17786960043605632
10,0.008158751436498217,-0.347377766983411,-0.023259030580579803,0.005223502764353226,-0.31559593522889884,0.0031975606567787402,-0.08030959417467619,-0.6557918711962435,-0.06188092608555159,-1.1096334682730091,-1.3349544644791407,0.15035954531689802
11,0.012019669734598991,-0.3630578691323829,-0.022330930684139987,0.006451601573045242,-0.33038066315394754,2.2143722536378026e-05,-0.759831575357005,-0.7204440245836448,0.004992733226639242,-1.0097857414291032,-0.9166008249404886,0.146456637986476
12,0.019213496409336756,-0.37987983683495463,0.005781708585466188,0.01062503222520032,-0.34973862332198236,0.030224587056946715,-0.5866048871782207,-0.36713543698849055,0.06304858718024961,-0.6292086887327994,-0.6312838978662679,0.083143590080269
13,0.02126322480922313,-0.3891841148658512,0.03685174989885472,0.011905434356698472,-0.36117166553010954,0.062476528364490996,-0.8528656556248299,-0.749919458052502,0.11222955149651162,-0.78472550850197,-0.3281814127073942,0.16153722383993963
14,0.024400080579900257,-0.4005701772331515,0.06929652973928603,0.01126864491857698,-0.3761093619531008,0.09145742402363617,-1.137467551698125,-0.9431228434539088,0.031480026481462926,-0.730786342559138,-0.4367831205893243,0.043835451277166135
15,0.025185646787076525,-0.4063585924529121,0.10082892192202131,0.018942265743506763,-0.3854497516446246,0.11477538347185173,-0.61898249994727,-0.3786477773682269,-0.054690651090959705,-0.07470706973938124,-0.33763417809198965,-0.05940158584670118
16,0.030454341276407632,-0.4170152454841163,0.13348082673339967,0.027668995956345574,-0.39912041883259736,0.13358648306885063,-0.9436710693377878,0.1173235311047028,-0.07525977376893646,-0.06953498007349257,-0.31224369108307065,-0.06825417545847548
17,0.03333236073222136,-0.42687135230460044,0.16587622543423258,0.03347171228191782,-0.4097025445222875,0.14827625419168616,0.5956722825684116,-0.1332115005108529,-0.06796963165578061,0.6059840871845457,-0.6619142472427999,-0.03633327644030926
18,0.03420039316347422,-0.4283740627959015,0.19731344410203971,0.030265414590850935,-0.40776974527647986,0.1600972046853923,0.5516874458083251,-0.25152010401618635,-0.06229830833637832,0.3011295314728196,-0.5438006960588827,0.005042233227873408
19,0.03692584401026814,-0.429736538592094,0.20536296499712955,0.033491713824956346,-0.4135573551346777,0.1695539650803572,0.30592710554459107,-0.08077550549468897,0.0048696427351098215,0.07545905321951116,-0.09400135683088695,0.06404719777347032
20,0.04237347716319937,-0.43367759316541477,0.20758454286689526,0.03782546605060702,-0.4177441273829149,0.1770502398008914,0.629617125249909,-0.15502597760499123,-0.07650967370292878,0.23217471264732367,-0.00230604083351256,0.032329066981246615
21,0.048598438094479314,-0.4302183506395477,0.20437059404215177,0.040719615577495746,-0.4165243918991314,0.17861686481811553,0.7496066387334773,-0.10256593290574448,-0.03387222184597604,0.2507191532372925,-0.10263876051127346,0.00016135838994555188
22,0.05056092605909174,-0.43467066276674976,0.19746775476061637,0.045250525421099176,-0.42401501257953195,0.17483896111328567,0.5016832633653756,-0.1377338924981677,0.04739138599330838,0.363404601382421,-0.1195538334589415,0.019428190818520544
23,0.053430202741461034,-0.43504714036081776,0.16976842450322657,0.052732591053736504,-0.4304996962122184,0.14285828282165206,0.681369102346974,-0.11628609563168302,0.02995715886646077,0.532514531398187,-0.10775249976355353,-0.029598272103884736
24,0.056375205753505866,-0.4313927023134529,0.14057623825952442,0.057645592576693334,-0.4296897531596736,0.11482463325274428,1.0801111362184115,-0.38552327231252187,0.0034009051778888084,1.6458625437819017,-0.8752533415403606,-0.04258730892063743
25,0.06434764917259826,-0.4356005406999016,0.10766045381402896,0.0607659396134007,-0.42965048592741684,0.08725380971054515,1.192467194344969,-0.399781507226668,-0.0004949412439382771,1.2903307781278852,-0.7344335003767359,-0.005415177746947046
26,0.06623038889366632,-0.4375332818032053,0.07657916340920087,0.060527969452491434,-0.4337677852000524,0.06776544253372017,1.169763085542585,-0.6135115798271003,-0.06450402197274556,0.8350342982202266,-0.5457297019257749,-0.03393144402671623
27,0.06587848606857565,-0.43884267991470877,0.05189303122926257,0.058961806597508166,-0.43574562879131956,0.06105883671166816,1.0113573421307682,-0.48422904179269655,-0.0632488468486979,0.6180668678713525,-0.18269316366125776,-0.044296601285235916
28,0.0694577824598167,-0.44388235763286177,0.025865412670705596,0.06263970296275412,-0.4379811418312693,0.04938507636475716,0.9824278115128843,-0.5397533664791717,-0.07371282257060598,0.5189315345514778,-0.3246825133345347,-0.0757887422339118
29,0.07190050677822671,-0.44575631129347315,0.003431511054012302,0.06620640937507992,-0.44380394765009823,0.04004606808722837,0.9651277607568461,-0.6184445256265191,-0.113650996099497,0.553754435375316,-0.4073564585238366,-0.09724533262101273
30,0.06843949544355805,-0.4459682496895478,0.006188203020918362,0.06465188234838495,-0.4466275580231759,0.038883337154474715,0.747228509196041,-0.8610586864927977,-0.10254990829268086,0.37973544640737555,-0.67765442502826,-0.10739556792596879
31,0.062095581541558045,-0.4455022515941229,0.03641983688500876,0.05829954614961208,-0.4419396452748447,0.07396896412872896,-0.19149316417569281,-0.33877556729181457,-0.11519679943293347,0.20942893306882512,-0.5999785148707492,-0.12253079317465834
32,0.05468934540181537,-0.4372817922076919,0.0668939753581016,0.05092037187609597,-0.4279417564785504,0.09723306827366286,-0.2197966936244161,-0.40729096666245734,-0.16181751959253793,0.10155894832921113,-0.6101351981599465,-0.13463897337360997
33,0.05282938812346812,-0.41650191666754044,0.09164010371188923,0.05004757507296148,-0.40330897588474707,0.11039342907951703,-0.059712534647186254,-0.46935572662114194,-0.14739713954095943,0.10813465694940902,-0.5331817240945018,-0.11712194845583669
34,0.052222828494587405,-0.38726885326969285,0.1070793677623866,0.049728307613451206,-0.3704522925820887,0.11677619561900197,-0.005472978622927465,-0.712832961988067,-0.13992683575948403,0.11248253328866065,-0.5135229109099345,-0.10039057953446674
35,0.046748118501650546,-0.35809533470906546,0.1338792891732845,0.047588309785396944,-0.34490354687900626,0.13147885346588128,-0.06496295618726643,-0.5575933454925053,-0.11782634186750233,0.031178098295249763,-0.37201084803968965,-0.08972323338452211
36,0.03918352486354252,-0.3321660412539563,0.15678569450554458,0.04357486373984296,-0.333040860851135,0.13779005723329177,-0.1808533525320208,-0.43266294010533246,-0.08583039491710275,0.0013051314876774758,-0.2703165587459186,-0.06359859981094156
37,0.03586496478953223,-0.313100047089199,0.15549658731577368,0.041900661736580996,-0.33132469675334497,0.1152737784056462,-0.1677770631497373,-0.1678746935491833,-0.045620314430706924,-0.043917191567538406,-0.19731896002731672,-0.024184068996957672
38,0.03944716391019972,-0.29985791551782753,0.12674725455768496,0.045113648429103405,-0.33115837205905996,0.09483225126834195,-0.14516603345135728,-0.07948441165941474,-0.015318592748685305,-0.09783773573337398,-0.09196374822431853,-0.013539183676619174
39,0.04606371236721641,-0.29829667402324905,0.09732991198302679,0.049634821539512396,-0.3371309998135128,0.07273941838083182,-0.16737544722305617,0.17190111015311985,0.026841321870005215,-0.1753475659929266,0.1482163456947464,0.011578194690988086
