frame,vx_sp_ma,vy_sp_ma,vz_sp_ma,vx_sp_lp,vy_sp_lp,vz_sp_lp,vx_sift_ma,vy_sift_ma,vz_sift_ma,vx_sift_lp,vy_sift_lp,vz_sift_lp
1,0.11029347035951453,0.15529785216182562,-0.14776598138492036,0.11029347035951453,0.15529785216182562,-0.14776598138492036,-0.08136637446231632,0.6655976503301452,-0.1373016275990664,-0.08136637446231632,0.6655976503301452,-0.1373016275990664
2,0.05847374641364047,0.18441865375959446,-0.12247800449470198,0.08956558078116492,0.16694617280093316,-0.137650790628833,0.6933970206703215,1.0146302233386615,0.6101252014377021,0.22853898359073882,0.8052106795335516,0.161669104015641
3,0.050063394582296895,0.21460800692198348,-0.09867888951864023,0.07830100280885388,0.18855428089009882,-0.12033676441636977,0.23731751500866546,0.7642223628801048,0.4367298216483582,0.04786288760966173,0.6968498720194397,0.1473230956264469
4,0.04031479164624219,0.24507709177570844,-0.07465946713237234,0.06485459881469872,0.21814029397945572,-0.09678965152780955,0.2183868250301128,0.714684636981846,0.35662250338453005,0.07060926110662036,0.6706941894729658,0.14111858621976664
5,0.027823658911991685,0.2773564934273865,-0.056528366503351204,0.047455504646756914,0.2558070551903843,-0.07423251401970098,0.1769281974327641,0.7068888538971105,0.2929118880763205,0.05870614629397015,0.6716964958900064,0.12050875434450982
6,0.019967856796400025,0.30974866190113465,-0.04631891354170856,0.03410217296109388,0.29898754500628255,-0.05844034096245986,0.15488026035056002,0.5914146987140096,0.24726837179078018,0.05589303202308403,0.5401659812717061,0.10021716154822354
7,0.004729318661233527,0.32426002583282026,-0.04021108163679769,0.00994135633892201,0.32145567788961293,-0.047465090811434366,0.27817439376674774,0.70874045363347,0.2162513828348815,0.24830226447124204,0.7146717816474114,0.08620361905847669
8,-0.02456091210875261,0.3689723320595033,-0.021240522729053964,-0.010994543934940072,0.35082134146141164,-0.04096648645529037,0.3254925998706605,0.7046803463157651,0.24262717795377584,0.24861402523000822,0.6991728051391712,0.07842868289342016
9,-0.05146048473436187,0.4063843027983854,-0.016101213748063753,-0.04512423233025174,0.37574172327503685,-0.04501616211174272,0.08496611432167568,0.5618050372463211,0.03638712049026747,0.15578622357601973,0.632045370683551,0.04551727196071856
10,-0.08332419612811279,0.4390841495167973,-0.025463052656237713,-0.07406004363153071,0.4013705066751585,-0.059335636074141065,0.14047797870085907,-0.0939897247541651,0.6487696344023941,0.06737728972874323,-0.35979504186124167,0.9117371494594864
11,-0.09770469004948891,0.4642106100411792,-0.05006188892133402,-0.07716692982753555,0.4235703193416381,-0.08242711962516143,0.018436930312480677,-0.07029687722493136,0.5946156664753685,-0.08463668494184422,-0.14145175509065214,0.6768342741883624
12,-0.09817860642458341,0.4812472816193573,-0.08268173124953651,-0.06682520119216281,0.44400241568957965,-0.10841026775706594,0.0827499120975345,-0.20127474072953108,0.5878469000738747,0.024547563954273877,-0.16138926866732767,0.5396050317572952
13,-0.10981131383398106,0.48621843590127684,-0.1202148921265935,-0.07360818208319862,0.45650344940032617,-0.13832896918023163,0.06760948310986226,-0.28477446680489427,0.5675745295003436,0.007369565568585855,-0.24320224687966951,0.4071128646755083
14,-0.10904397584366661,0.5044599219100386,-0.15876221877531885,-0.07515265451007176,0.47300648181711435,-0.1653422506938673,0.009747344922033456,-0.6369377978843732,0.5626741009209077,0.12847649784468315,-0.40505146438495965,0.3248595815490943
15,-0.10163471813265039,0.5263079471976736,-0.19408001471071668,-0.06869679181871238,0.5026492200061019,-0.18471312867079367,-0.0303195954688544,-0.6806483354665044,0.5465224871210747,0.09665969538151811,-0.2578005443017092,0.24674119356614788
16,-0.08024107826972537,0.5377143337667394,-0.22430484268916331,-0.06133493482917457,0.5131729673074812,-0.20232823505397063,0.11671431231317635,-0.6863358874836282,0.5328061991970185,0.24007023059207072,-0.14149588169312677,0.16096447740522227
17,-0.05360281334539765,0.5417026179191625,-0.24559336524243075,-0.04973503473661014,0.5168990997145063,-0.21498922600249787,0.15554901915331182,-0.13621787969574103,-0.11831005258613501,0.18917308491777365,-0.20846283285954187,0.09253216131867419
18,-0.04159724145053462,0.5422602013595723,-0.25334647891332446,-0.04089912205879086,0.51677381058969,-0.21780435070709803,0.25721904108180244,-0.2856762362283026,-0.09840774098966922,0.15513798190926703,-0.2296276870348785,0.049333519910764734
19,-0.04932593698912712,0.5432504191788802,-0.25223697674076545,-0.04863112873119656,0.5199515136350521,-0.21515874958103262,0.1719452416559764,-0.2876480107229606,-0.10732443419973277,0.09698397823900642,-0.23469049851522997,0.02512105784112808
20,-0.03781636449633826,0.541900947682789,-0.24205004179355943,-0.04293952262452121,0.5153734676621765,-0.20946604571331656,0.18454949542038662,-0.20301952555961786,-0.09759555878674882,0.08296465226654623,-0.18336335152931146,0.00914611112075203
21,-0.0331562016978205,0.5405370042634687,-0.21816878570502302,-0.04409349902520497,0.5181929756395465,-0.18881815339638425,0.12176504885813595,-0.015087651022266621,-0.09236996872906257,0.10105434201590047,-0.09407572375238149,0.013802004786050004
