frame,vx_sp_ma,vy_sp_ma,vz_sp_ma
1,-0.04346753287139827,0.10295227784678491,0.12233438581370243
2,-0.04958900005886788,0.1352347882158271,0.09452263410882035
3,-0.032782734593062274,0.16950726508783467,0.07144617154641801
4,0.0023981759479967286,0.19522048162483474,0.04835192933079756
5,-0.04009350644211155,-0.2166421967813747,0.03162972802539233
6,0.07952711458818168,0.22825865779096174,0.01981786331299201
7,0.11687823593743027,0.22561453888293231,0.014522776558134791
8,0.16676432413763953,0.23461820721438265,-0.00532766966171167
9,0.22309365155740346,0.22308040754744574,-0.018558115665324178
10,0.2794845391716542,0.187491989856817,-0.02460713492589155
11,0.3165901682019763,0.1407440787571486,-0.022729683454932655
12,0.34878932756961767,0.08667164197390438,-0.012611822247402447
13,0.3666150044115755,0.021802434915483816,0.018449719472248775
14,0.37502912757687945,-0.05251608111935295,0.05120996413916628
15,0.36189500646613704,-0.12016830374921464,0.08326380000969236
16,0.355453593926996,-0.1609950242306608,0.11599021578133138
17,0.36109067712989656,-0.1715853235763344,0.15040257128012746
18,0.3761156358435906,-0.17121739918237638,0.18330193484053334
19,0.38420707602961174,-0.16596281428098414,0.2098647370174839
20,0.3894037763079766,-0.1654133273774319,0.21170829434411106
21,0.3909473878965684,-0.16544414003428323,0.20841903239695903
22,0.4033862634635286,-0.17434174910621084,0.20106883505775788
23,0.40198486496621644,-0.1812668841927683,0.17327998989568488
24,0.40112161205760805,-0.1830860878378151,0.14288550902660932
25,0.4019320978214775,-0.18666517622157913,0.10960840253626733
26,0.4016754895796921,-0.18722517522755805,0.07817926325362445
27,0.39931158018255586,-0.19335934847012795,0.05424654383544579
28,0.39968533524373795,-0.2004852280345757,0.028867241490484752
29,0.3926460194563201,-0.20460438123836877,0.00706878348388571
30,0.39011449548752225,-0.2112348292790433,0.009807953522723734
31,0.38552997603183936,-0.21041827756027406,0.039011499087464506
32,0.3826268624438996,-0.19264542138532548,0.06840225485793494
33,0.3728893718100065,-0.16460373764028538,0.0939086080992069
34,0.35090948619461626,-0.14840791098557082,0.108904097122511
35,0.314068448818947,-0.15899978272484178,0.1349821263076909
36,0.279851692035144,-0.1750037812953149,0.15774756264766165
37,0.2563720097296939,-0.1768573460607446,0.15619578522508526
38,0.2486605705618439,-0.1681324461209702,0.12853526979706537
39,0.24976690569211205,-0.16098688655792098,0.10135758365895761
40,0.2615672656126814,-0.16338339967319193,0.07511437030278695
41,0.28376746938301806,-0.16582806369702652,0.05289643084100756
42,0.30622851758117714,-0.1697269369330456,0.025096176593427073
43,0.3189951967017375,-0.17970008764400786,0.002029819735619771
44,0.3253087238106407,-0.1893227123862761,-0.003290906308780724
45,0.32639148789047434,-0.1971756264964365,-0.005239315991861003
46,0.3300047418518502,-0.2015544376997266,-0.0032267432588376273
47,0.3344465384011137,-0.19616064078526385,0.00234305533312976
48,0.33867119739793194,-0.18933003447318253,0.008934726228832297
49,0.3411570080913518,-0.18266949848956235,0.033713879029513956
50,0.34423778373195524,-0.1791414132297001,0.05883767241527893
51,0.3446795147121279,-0.18693103472568645,0.08528259018090824
52,0.34483246361555275,-0.19216751782113523,0.11002202044055015
53,0.34537798181413826,-0.18933404686344601,0.13489718355454738
54,0.3467675584404543,-0.18690843184645484,0.15493781207630025
55,0.34607005511974676,-0.1831508530669232,0.15453912912306397
56,0.3415512495953978,-0.18258957681750654,0.1331550359895116
57,0.33270109759084,-0.18735831385388163,0.10938681595062612
58,0.32648543057757573,-0.1910035754572651,0.08554368037979519
59,0.3252722892193126,-0.18742233486465393,0.05818947188763059
60,0.32663417696979785,-0.18341501031114332,0.034573475714234046
61,0.3280043091750393,-0.1857873855685212,0.006515915054681949
62,0.3298145793359346,-0.18985393064079212,-0.005674252263667052
63,0.3328191356549658,-0.18822599615618468,-0.012051208545066732
64,0.34023042486511756,-0.18543708373129206,-0.014020439383127642
65,0.3455070033565306,-0.1803260255567225,-0.01759424637055266
66,0.35027305214730603,-0.1792294138015577,-0.0197857270473873
67,0.3558254800342376,-0.18012794845708496,-0.02195598809256214
68,0.3572796284503184,-0.1787570646165415,-0.01079304716450247
69,0.353461155223877,-0.1888240480767005,-0.0003445693779573489
70,0.35700617291407466,-0.19706328248331556,0.009344831625554696
71,0.3576733994056521,-0.1980524632686187,0.02052418742837905
72,0.36068927209458623,-0.19848815085995275,0.029574773676829758
73,0.36159798288102823,-0.20188127238808712,0.03969293127679264
74,0.3654754720326716,-0.20328164562825318,0.0491188340583416
75,0.37228557687426866,-0.19643242470272473,0.051033369423725224
76,0.37930421500686773,-0.19097491419140367,0.05127660306828448
77,0.37906366996791685,-0.1931881955137096,0.05245546879292305
78,0.37820889735578844,-0.2029810649415072,0.05263262059292913
79,0.37380331479340234,-0.21044307760139971,0.053381554244944285
80,0.3773635259332868,-0.2079395289657998,0.05123871515048519
81,0.37403324940823657,-0.19845019197856018,0.05107150196295765
82,0.3757796896535055,-0.19393732028566985,0.0426522123977907
83,0.3762683135307814,-0.1930883916200695,0.030802949062422324
84,0.3749367784368287,-0.19279922338523978,0.023182108879158978
85,0.37304106200151627,-0.1920780993991339,0.0163615500518741
86,0.37296315718347084,-0.19390211719899206,0.009085747961987602
87,0.36957930717511633,-0.19780379245705354,0.003595546260398515
88,0.37412965708421836,-0.20061915844626474,0.0046127424007644125
89,0.3774798968114157,-0.196406840282861,0.00887080361572601
90,0.3786102039141945,-0.19558554798145572,0.012745752786948342
91,0.38173203473563805,-0.19326887881251834,0.018048358126475803
92,0.3863027123720541,-0.18452692395988968,0.026215103016699937
93,0.38668721515841054,-0.1790507215312011,0.033935505580788644
94,0.3889328468038591,-0.18627268083768805,0.04130807263447921
95,0.38658283880480937,-0.19352437645340892,0.04019840342333803
96,0.38250766394406466,-0.2031453581569694,0.04272580396652423
97,0.38492354158364017,-0.207588476538232,0.045736817047375394
98,0.39047375166866183,-0.20562547340248175,0.04937684966001846
99,0.3945288322823973,-0.2029200738715026,0.04780824180361477
100,0.39743341587965303,-0.1997070233697961,0.0436783724302249
101,0.39927423400558204,-0.19886660661587954,0.04147770573204197
102,0.39733811989693657,-0.2027739190469963,0.04204895376440288
103,0.39258275479897964,-0.21315346823642206,0.0440156071189025
104,0.38747912066624146,-0.2189327165847124,0.045239141414519915
105,0.3886977268184775,-0.2153100558094083,0.047067618549588436
106,0.3942450483273485,-0.21097958676383516,0.04871487880726849
107,0.40082428150214344,-0.20777496966237435,0.0537567305418378
108,0.4003554554698306,-0.2086571646228087,0.05788976681573416
109,0.40207024941473196,-0.21400991794629104,0.05944431698550341
110,0.40137843895234565,-0.216752398715685,0.058023826572598025
111,0.4013175051586466,-0.22047057168992507,0.055802625945144735
112,0.3992003970509282,-0.22202654890094947,0.054197870060323894
113,0.39927832103993843,-0.22390374064853427,0.05554907152263948
114,0.40344502234685176,-0.22385480323951001,0.051307739696430835
115,0.40183346022577654,-0.21525454629459467,0.049045357507985804
116,0.39812011294928046,-0.20431763459867203,0.06267853185625095
117,0.40362150161352955,-0.19785511775596756,0.07651306009928352
118,0.40184849383191534,-0.19476234212066898,0.08552672991689876
119,0.39833115835564104,-0.19735251274264826,0.09128659817119562
120,0.3958224494743099,-0.19793071668535228,0.09472416170438919
121,0.39213654924831637,-0.1993080710747324,0.09407056124624259
