frame,vx_sp_ma,vy_sp_ma,vz_sp_ma,vx_sp_lp,vy_sp_lp,vz_sp_lp,vx_sift_ma,vy_sift_ma,vz_sift_ma,vx_sift_lp,vy_sift_lp,vz_sift_lp
1,0.10278294321467554,0.7096312156296218,1.7867446474770032,0.10278294321467554,0.7096312156296218,1.7867446474770032,0.0,0.0,0.0,0.0,0.0,0.0
2,0.12157959335344552,0.37685739478410585,1.1116391880034149,0.11030160327018354,0.5765216872914154,1.516702463687568,0.0,0.0,0.0,0.0,0.0,0.0
3,0.07920226831695464,0.24504111151733646,0.6605053722097796,0.08713080626494141,0.4574990588298919,1.1650095190745562,0.0,0.0,0.0,0.0,0.0,0.0
4,0.1673684309461684,0.3608575279541547,0.7892369582637748,0.15607802877871507,0.5076606025168354,1.1670939585447972,0.0,0.0,0.0,0.0,0.0,0.0
5,0.16550679948784577,0.3282809624443451,0.7191494788472673,0.15647447775388312,0.44572342209448973,1.0214350790720854,0.0,0.0,0.0,0.0,0.0,0.0
6,0.14270381030349122,0.32262351718438687,0.6714077960098227,0.1309173550794502,0.41544599585251085,0.9036879396221882,0.0,0.0,0.0,0.0,0.0,0.0
7,0.13269634648827616,0.29883861841369264,0.6378543577983946,0.11926419678295731,0.3635826418399142,0.8102570974037159,0.023797309381433956,0.023369856434199174,0.0,0.03331623313400754,0.03271779900787885,0.0
8,0.1390110768604896,0.1902719393203107,0.39236215193003166,0.12480856859039977,0.280799005867121,0.6618655192026653,0.023797309381433956,0.023369856434199174,0.0,0.026652986507206034,0.02617423920630308,0.0
9,0.13674385991891763,0.21726007005075582,0.39305606511136554,0.12474799985256219,0.27123930250403794,0.617770639521965,0.023797309381433956,0.023369856434199174,0.0,0.02132238920576483,0.020939391365042467,0.0
10,0.15041226522248255,0.23942903112396105,0.48940772813994987,0.11782369095583523,0.24430969650247725,0.5807563879820918,0.023797309381433956,0.023369856434199174,0.0,0.017057911364611864,0.016751513092033973,0.0
11,0.08026654927474605,0.1293870389177195,0.30168406795104413,0.082428334204599,0.18305032356616557,0.4368783294063576,0.023797309381433956,0.023369856434199174,0.0,0.013646329091689492,0.01340121047362718,0.0
12,0.057845508030887276,0.12483224903689306,0.26644071048218715,0.06616526435318797,0.17965849310079682,0.38792187530493394,0.023797309381433956,0.023369856434199174,0.0,0.010917063273351594,0.010720968378901744,0.0
13,0.08370176766347356,0.11194300903931824,0.23206880720742143,0.09486874784451488,0.1845491166609518,0.348756712023795,0.023797309381433956,0.023369856434199174,0.0,0.008733650618681275,0.008576774703121395,0.0
14,0.009140555023642059,0.04480457629628164,0.2057688044164905,-0.013960386700755056,0.08487133264641568,0.3294921114176981,0.0,0.0,0.0,0.0069869204949450205,0.006861419762497116,0.0
15,0.021558156715276063,0.05553165824067737,0.2812236344431182,0.035613544171717484,0.07284787323447618,0.3828902924511297,0.0,0.0,0.0,0.005589536395956017,0.005489135809997693,0.0
16,0.003771624586531519,0.022245874090433722,0.2181677600432377,0.02849083533737399,0.05827829858758095,0.3063122339609038,0.0,0.0,0.0,0.0044716291167648135,0.004391308647998154,0.0
17,-0.032265372058809326,-0.010618572319767807,0.11431114924765097,-0.00963383595979252,0.027930668395029504,0.18619040841942147,0.0,0.0,0.0,0.003577303293411851,0.0035130469183985236,0.0
18,-0.04205645638555262,0.009730908510255395,0.1402618508947578,-0.03324520538534381,0.038436374242239855,0.15755652806217083,0.0,0.0,0.0,0.0028618426347294806,0.002810437534718819,0.0
19,-0.026528265431157806,0.027158084100488932,0.20815017361325827,-0.004634099982613542,0.0883653794679832,0.25950808603548514,0.0,0.0,0.0,0.0022894741077835847,0.0022483500277750553,0.0
20,-0.09401673627204901,-0.041169667857081045,0.1325345602628309,-0.05625460280137399,0.015855773014102924,0.1401638219176375,0.0,0.0,0.0,0.0018315792862268678,0.0017986800222200444,0.0
21,-0.04459596790250122,-0.06065561716826048,-0.0068528635933244875,-0.06566999150009928,-0.07736367130671463,-0.032524594065845444,0.0,0.0,0.0,0.0014652634289814943,0.0014389440177760356,0.0
22,-0.07187237142076917,-0.07647724200114268,-0.08982990976681414,-0.04394110459333302,-0.07909040469406314,-0.022890936578590627,0.0,0.0,0.0,0.0011722107431851956,0.0011511552142208284,0.0
23,-0.0672300447782607,-0.03940969621517175,-0.053625383670879635,-0.028653626375154558,-0.011377759654891212,0.032373587271435814,0.0,0.0,0.0,0.0009377685945481565,0.0009209241713766628,0.0
24,-0.03810968089247765,-0.009100756172621195,-0.02358061452948103,-0.014580895889719102,0.014638337860622535,0.009102167865805099,0.0,0.0,0.0,0.0007502148756385253,0.0007367393371013303,0.0
