frame,x_sp_ma,y_sp_ma,z_sp_ma,x_sp_lp,y_sp_lp,z_sp_lp,x_sift_ma,y_sift_ma,z_sift_ma,x_sift_lp,y_sift_lp,z_sift_lp
1,-0.04422281629691389,0.10213195929122341,0.12200231278459081,-0.04422281629691389,0.10213195929122341,0.12200231278459081,-0.8805559395155228,0.9980716581570934,0.4590429154295169,-0.8805559395155228,0.9980716581570934,0.4590429154295169
2,-0.09545041093470336,0.23725927965866167,0.217085385023362,-0.08165413102482383,0.22106078967669993,0.23398247410612105,-1.1575749790356997,1.7219895455501475,0.5894345572198277,-1.423864144797364,1.9653601049690907,0.7903141876629498
3,-0.12941899296806,0.40643195058776704,0.28867079010562063,-0.10220467274396723,0.36434976730761015,0.328428047052091,-1.2479332497329516,2.18974406255765,0.8156893536430687,-1.6874184339256626,2.785990562838837,1.1405934246068388
4,-0.12735871808626806,0.6017015550589913,0.3370785177129213,-0.09361079948051175,0.5325458343810575,0.399718251320785,-0.973208490227429,3.547848587708179,1.0872918962681988,-1.5340049194403396,4.274731647700883,1.5015273025869624
5,-0.16702460367091718,0.3854165737694515,0.36564158093562577,-0.1339781794808432,0.33833489256034177,0.4466400164603729,-1.373690183129864,2.47614041664571,1.2768436565171737,-1.8611620653287895,3.0809867186027535,1.7615937009526834
6,-0.08861498760856547,0.6151562576504868,0.3855998525143131,-0.057826660652304684,0.5548140509628405,0.47957952970530965,-0.8840931196602819,3.304810790336685,1.4305157203429204,-1.431787796229226,3.9835889435106897,1.9639335518807641
7,0.026279639392874227,0.8415171728098131,0.40014268000688574,0.05402760879739352,0.7763943410616065,0.5020639314649032,-0.4008774896184047,3.8663638905244175,1.5576301241736301,-1.0384353205903352,4.541535521276217,2.118395723104367
8,0.19192769678872076,1.077173851150321,0.39453310110817386,0.20780427214776528,0.9954558730515408,0.516719071073927,0.6548149274093311,4.80954726942584,1.5885854748476023,0.17305068184604755,5.813401340543711,2.2007634264401266
9,0.4128220839233344,1.3007181399674006,0.3750882026916432,0.4078397452813868,1.2010779448959374,0.5227889932943498,1.6326542485092421,5.440552400647922,1.6892000857128706,1.0516560438181966,6.486868669900501,2.3252804282090813
10,0.6900088690799573,1.4914836104372358,0.34868029534905737,0.6593506083628025,1.3751160426788225,0.5225424336543011,2.8390363375891177,5.898541595118951,1.7604040304423156,1.9883932935335369,6.937325575984455,2.4655651829565843
11,1.0043501457292083,1.6395853035991799,0.32353557824248264,0.9415713911186319,1.5065383203101677,0.5195513480866272,3.628830924539605,6.218126531332118,1.7887340546879047,2.944147854667458,7.26948529909165,2.5962321033185933
