frame,x_sp_ma,y_sp_ma,z_sp_ma,x_sp_lp,y_sp_lp,z_sp_lp,x_sift_ma,y_sift_ma,z_sift_ma,x_sift_lp,y_sift_lp,z_sift_lp
1,0.044243402531765764,-0.10165635623383408,0.12239144367297825,0.044243402531765764,-0.10165635623383408,0.12239144367297825,0.8806400332229057,-0.9962702369350426,0.4627795830858349,0.8806400332229057,-0.9962702369350426,0.4627795830858349
2,0.09539927336145951,-0.23713513015109455,0.21701188800692162,0.08159068831106361,-0.22099906153773863,0.233958578100542,1.1575548376907225,-1.7206692033987303,0.5906973873429777,1.4236928862675868,-1.964784698026739,0.7908721592377368
3,0.12910628457414564,-0.4068946576687985,0.2873202629526495,0.10179609850308576,-0.3650643580078678,0.32729106910180156,1.2470863328146846,-2.190280369129575,0.8134070695991094,1.685966598096376,-2.788289694223667,1.1353177672191301
4,0.12703393615600475,-0.6021801692541888,0.33566326236213706,0.09318448212817126,-0.5332838557923869,0.398523824838552,0.9722937577466352,-3.5484740265289325,1.0844948147440596,1.5324630558269983,-4.277149328108441,1.4957239846404973
5,0.16651837153821147,-0.38604870543105974,0.3656064402081013,0.13326047428747534,-0.3393230294472459,0.4467128280524877,1.3715828797996505,-2.477778628453055,1.2821142005209059,1.8579987439064753,-3.0847916022457724,1.764057461445981
6,0.08811372566081002,-0.6157856298172353,0.3856159360446288,0.05711696159100853,-0.5557975730429344,0.4797011415080451,0.8820229533084843,-3.3064276313589835,1.4360196401538747,1.4286731408018005,-3.9873654389952073,1.9666270800499348
7,-0.026861159630285333,-0.8421740013939631,0.39905520775790543,-0.05485999285118233,-0.7774225719531548,0.5011084395337692,0.3981242020131485,-3.868239545206105,1.5593349800865368,1.0344900726526043,-4.545632576050838,2.117778092414436
8,-0.1925142954410426,-1.077832694388965,0.39368535181286635,-0.20861905354985116,-0.9964814551879007,0.5159861757499961,-0.6575282902080053,-4.811420601754885,1.5916909621595414,-0.17689658365542105,-5.817485067699879,2.201796205211943
9,-0.41351344934086653,-1.301383294079255,0.3755473596854766,-0.408607664421069,-1.2021107904518742,0.5232389612723307,-1.634726904096866,-5.442465879356534,1.6981110733587392,-1.0547186064441423,-6.490990699828946,2.3315219517862102
10,-0.6906656957712928,-1.4921539378430864,0.34881629282016824,-0.66012001977376,-1.376146070075109,0.5226994513984803,-2.8412118387201835,-5.900418645605266,1.767790448083864,-1.9916544739875772,-6.941392391205318,2.4706528548002074
11,-1.0045349495173994,-1.6404090798809146,0.3190957454919168,-0.9422775251447719,-1.5075456007151962,0.5155834567126532,-3.631491214239321,-6.219640643390064,1.7841744666320023,-2.9497557248843056,-7.2723245118234,2.5863966729209937
12,-1.3499404577491152,-1.7384157953189485,0.2949907081169548,-1.262323929572932,-1.5910959830661304,0.509064935656576,-4.4686880469187376,-6.335765133965844,1.8193315053781116,-3.8021030240620743,-7.362161572191356,2.6862634737403477
13,-1.715951278728209,-1.7722066825074463,0.3014236360660422,-1.6079471857652257,-1.6103321594467597,0.5395532676414188,-5.461269556624705,-5.408458413054907,1.8714241439682542,-4.694181046022703,-6.058219115279604,2.7807962282815084
