frame,x_sp_ma,y_sp_ma,z_sp_ma,x_sp_lp,y_sp_lp,z_sp_lp,x_sift_ma,y_sift_ma,z_sift_ma,x_sift_lp,y_sift_lp,z_sift_lp
1,-0.04324580336062744,0.10231211354291606,0.12220143546112391,-0.04324580336062744,0.10231211354291606,0.12220143546112391,-0.8736768431211926,1.002450209166607,0.4626321947013175,-0.8736768431211926,1.002450209166607,0.4626321947013175
2,-0.09371052405578903,0.23812315728233013,0.21671663081082232,-0.07990877581924073,0.22197261028435597,0.23365509631981463,-1.1479082066011606,1.7279663614452245,0.5899982351509779,-1.4127198898188316,1.9732956118494858,0.790447995062046
3,-0.12770139958751103,0.4078112649112522,0.2870607413342886,-0.10039281901845945,0.36597280662805076,0.32702730605988756,-1.2382565823704905,2.197372175602118,0.8128109161195212,-1.6763742820947805,2.796333390146211,1.1349562423732173
4,-0.12536862282329958,0.6031015505674577,0.3353725797998812,-0.09152551955880028,0.5341934538932496,0.3982259696378394,-0.9617220699973925,3.5553104850116473,1.0834060882581031,-1.5208940355359413,4.285080683941465,1.494978986938116
5,-0.16653746647081896,0.38726083070020545,0.36514394441770964,-0.1332584692902997,0.3405360809713532,0.44622857534308147,-1.3696825624498468,2.4874760197277768,1.2787817557180237,-1.8564214963473733,3.095116921758745,1.7616264192259086
6,-0.08659498246074138,0.6164787449519675,0.3850203093163124,-0.05558172600046929,0.5564864294044163,0.47907765354757925,-0.8740961552598708,3.312853207923086,1.4309710661408623,-1.4203197032207393,3.9947167791881393,1.9629465056353057
7,0.029297400514874603,0.8424027410569412,0.39839328988308936,0.05732237949236106,0.7776466235308446,0.5004220292397894,-0.38760754540544984,3.872613490562699,1.5534233408016136,-1.0234615415395325,4.551235448117589,2.1135442702622216
8,0.19635959411191578,1.077063547819993,0.39297613373077606,0.2124914433812471,0.995711953332304,0.5152565719134983,0.6739436390059322,4.80922333195592,1.583600935491577,0.19608965013476665,5.815383801022939,2.1956981965564313
9,0.41949714614213446,1.298484162827296,0.37489223126231663,0.41461497178594997,1.1992405752249253,0.5225812038400617,1.6582557480437852,5.429514451125682,1.6876639592698566,1.0816295726428091,6.478971145953934,2.324076507881166
10,0.69860622071446,1.4864027876942802,0.34832023324301586,0.6680497325703996,1.3704647147142666,0.5221931294100673,2.8701650959675566,5.873343302115573,1.7545484290214668,2.0243261422204695,6.917595520412598,2.4619160794664467
11,1.0136793102204047,1.6321273441470203,0.31882263271151107,0.9513320117108943,1.499431525579426,0.5152617593987671,3.663273990359195,6.1854624861879675,1.771056241574223,2.985652508304313,7.239147901173842,2.5773560688923047
12,1.3595036327156675,1.7286779066630238,0.29484637230364763,1.271746742535886,1.581565003044483,0.508831312681438,4.501015045028586,6.297658733817253,1.8060044700365157,3.8384785391887606,7.324711519498174,2.6768880838533846
13,1.7255952791314948,1.7615683185513635,0.3013467509955721,1.6174163080140882,1.5998937974508523,0.5393536141616398,5.491352175332887,5.367834705784114,1.8558953137347802,4.7274026306305785,6.018397639898779,2.7683406808842963
14,2.1015489521937987,1.7187491148402159,0.3414132215800849,1.9719126197483792,1.5457224699417889,0.6039411896391342,6.275584023080976,4.69200919706234,1.9480527309177662,5.112190925057047,5.495995027436515,2.892152799535108
15,2.470220304097701,1.6074794433079513,0.4134685375691085,2.31710325346919,1.431383491806385,0.6961040554452497,6.150920681259026,4.021923249306061,2.0723212127410116,5.29524862179336,4.610335745137796,2.9675043225658264
16,2.8326472461800742,1.4538939855838044,0.5165002982967176,2.6652624881870848,1.2833713464090792,0.8074601326294054,6.0491651825770045,3.1267587858556727,2.15719877927099,5.301567690690642,3.777234053126136,3.043849652510682
17,3.198184098469385,1.2814720742899086,0.6544847447797251,3.0215611963196647,1.1169970785638768,0.9380336045063604,6.114270753515241,2.2651242562583023,2.1863750424149218,5.68965931841462,3.0660429707086676,3.0641540234045275
18,3.573982387364836,1.1004105560719535,0.8290825098674272,3.383604699402722,0.9478106963183947,1.0872856918852305,5.852426705856142,1.121641904640913,2.274119837521423,5.730947450362757,2.060702567912812,3.1766846799490636
19,3.956524473323898,0.9221432936288667,1.0330996862875703,3.7554365408807016,0.7762436783597336,1.2499623479988855,5.361717941132742,-0.0008961287610618207,2.41646150140211,5.454105403813432,1.2244416513350083,3.3595312080424993
20,4.345774634228077,0.7461282062465071,1.2369289588545025,4.13181877046706,0.6016099693514492,1.4187155684992623,5.072648349400767,-0.2534634309898197,2.6026688076464937,5.049021639648921,0.5901294369981311,3.5837736864830956
21,4.741501672867901,0.567618560097266,1.4372583398799226,4.513286893632426,0.4223443500970251,1.5893134198241214,5.045636250098328,-1.4214534117814375,2.80670542662883,5.221232809034004,-0.557198114116749,3.8321112530452086
22,5.138802398471307,0.38212521211820083,1.6275714426465742,4.893730491094548,0.23863859883611532,1.754786282270185,5.129209113639339,-2.154150395230071,3.059413573579695,5.40122720534022,-1.2775849221190563,4.078305141853739
23,5.53758432082827,0.18903514305787386,1.7957968155369308,5.280421472216614,0.050490234031289855,1.8937810426851813,5.178051782172688,-2.5378559093968747,3.361408912764356,5.4310096350707004,-1.4711313670244885,4.357964095072642
24,5.9356519828562115,-0.0016999061817485617,1.9332723109767267,5.670743804609455,-0.13546740224288975,2.0039163763822327,5.025798270289946,-2.5278232384020467,3.7227169735902925,5.583926861799986,-1.140448510660131,4.630454416812887
25,6.336247764139702,-0.19389802144979248,2.03595458356385,6.062854771256434,-0.3240752784470921,2.085180324384817,4.5486493699551165,-2.7993232962329366,4.096634904723931,4.962093474529491,-1.6915032129739274,4.953929014563519
26,6.738220759689546,-0.38695466634093834,2.1075487925139162,6.45788768092868,-0.5167484739124836,2.147347993778567,4.160708685076144,-3.3656652487287024,4.391162437261046,4.27428365039285,-2.5573053299082105,5.191487337934572
27,7.135144726400601,-0.5851701774593971,2.1556221917165947,6.846559796522173,-0.715567205967439,2.2044052854088934,4.0073871873227,-4.007408956448001,4.6487623541859655,3.8785037489865974,-3.3095372866496664,5.408772960772905
28,7.534144820061475,-0.7897614844791686,2.1759443316497085,7.236854424007389,-0.9176877698714565,2.247879882092312,3.6887048492995413,-4.214804875721472,4.846809741168086,3.7827179435335756,-3.9720756830391695,5.5684687410568126
29,7.927391157977811,-0.9917312664845253,2.1665986131186488,7.625516641263673,-1.1206286199655198,2.2744915422398035,3.083996759434555,-4.924358934128952,4.970663545706985,3.3742875656866294,-5.031342785545522,5.635627808381331
30,8.321695749994413,-1.1942432989648935,2.1544320901155785,8.015555173223444,-1.3282223290544337,2.2948450102248605,3.148851119423152,-5.75204724884816,5.00703385234056,3.9002393654558247,-5.6458683057993495,5.651327012121349
31,8.712320039082712,-1.3966524161405502,2.1762655843357854,8.402232994913543,-1.5341492906417473,2.3539836646225307,3.4075192605079914,-7.055466384499988,5.00779781484418,4.737967997919329,-6.321232476384203,5.66756104586828
32,9.097089120958273,-1.590882240599172,2.2391402530465583,8.779720368056203,-1.7296732418641896,2.4466622412962686,4.342557513884129,-7.810970573622631,4.983796624459193,5.566743912424062,-6.8869856176562,5.73971106954366
33,9.464839215511978,-1.7652033863348748,2.3356161421542576,9.138095469357694,-1.9013092141988135,2.561025475503412,5.278308799010403,-8.156475632672793,5.040306330541422,6.041500451976907,-7.212940200140755,5.870493793034106
34,9.81180735096527,-1.9216637264183989,2.4450173454419155,9.473102669471107,-2.0530100340610833,2.6799596997886783,5.967553133206641,-8.361057444762222,5.042790813839658,6.240335298320122,-7.351238661339661,5.9346494954337095
35,10.127593664065273,-2.0827601110964804,2.5738156892567394,9.78207437509718,-2.2066443037549393,2.8059504847584296,6.513504360958167,-8.564003736745526,5.055277770849152,6.439938955315047,-7.490415623035011,6.0005173871900865
36,10.41052205501037,-2.2582785186902963,2.725095021663878,10.06807746262419,-2.3776230727064007,2.9377366111830323,7.289925871527181,-8.39216420729009,5.10675488194336,6.5907812932342305,-7.556739049418774,6.053477061525635
37,10.665358279883291,-2.438628471563553,2.880130970232929,10.338301300102218,-2.5664174504825668,3.052743718976262,7.189662091477601,-8.372352729501698,5.1879785847360775,6.334850384982858,-7.612920105064969,6.116648044816145
38,10.908272842883918,-2.613493205298907,3.0087763833617034,10.606503274614015,-2.7591216360350135,3.1504936089057054,6.545822720299952,-8.20796855093766,5.310578749790241,5.74787149297917,-7.698317647371635,6.244043424771233
39,11.154211051522019,-2.7816966241227647,3.1068954798635686,10.881629714550876,-2.9493497975685483,3.224329537975638,5.870030217834888,-7.954039889732424,5.460270174033722,5.373312943499073,-7.695311242871867,6.418126983529094
40,11.415141131950145,-2.9481952119361994,3.1760902461157268,11.170808065070029,-3.1355289300039817,3.2765846070081017,5.660718891549269,-8.166500133545238,5.57689244149047,5.561507809300157,-8.188406818449016,6.564256463159458
41,11.698730232551414,-3.1152718288532024,3.225427642411304,11.475231322697244,-3.313788470575822,3.3183220083984195,5.446648139530384,-8.747406047317202,5.795858639168721,5.539191914041851,-8.940724270605614,6.790775945962574
42,12.002695566650251,-3.289293438602808,3.2496808244104556,11.7881534550921,-3.4922061396912554,3.352167551668581,5.155259234661394,-9.308204956866641,6.057559000057694,5.45364017564178,-9.53703484357923,7.051652507469473
43,12.319686952139532,-3.4725373242872104,3.248473316754643,12.105473546535514,-3.6767804418036967,3.3771591140704618,4.893633554703424,-9.845201169906405,6.373021512433627,5.4300427196695935,-9.929290298157305,7.335599165202616
44,12.646148482698237,-3.6628738594242027,3.2385210017837776,12.427265567753528,-3.867760598989764,3.391505790766381,4.942623154435555,-10.311194277419064,6.647384046371766,5.478662871594516,-10.15774776716957,7.526539510748051
45,12.970971720915536,-3.8614703644723454,3.2267194298884805,12.744682171938866,-4.063380032462614,3.4020948297765687,5.241864037408579,-10.638646945499982,6.85369613634956,5.498241555882785,-10.21738354171181,7.667722797971183
46,13.298217616255977,-4.067038570692068,3.217377906202996,13.062904974902105,-4.262302879079428,3.410682416096847,5.322787980811743,-11.029751033559299,7.0368459076031975,5.303164062976074,-10.272735436898389,7.815279149021915
47,13.632135032783937,-4.265890740488302,3.210875982395361,13.388132096329455,-4.456243375351024,3.4192104404368204,5.063435738527939,-11.131999898178323,7.219096791793505,5.159107508157363,-10.388894742044641,7.937966427043315
48,13.971948717806377,-4.453745754013718,3.2071666536035033,13.720284230518608,-4.64237006885015,3.429966175484233,4.80079355478773,-10.93566823498596,7.34057492411052,4.851749382179457,-10.423655566563117,8.056515821307068
49,14.312918338163223,-4.635069995493995,3.22923281818966,14.054335473947846,-4.824716950630747,3.47009045895272,4.678755875761005,-10.641213459204467,7.422394508245525,4.7396958874742445,-10.307674412889131,8.17416292676664
50,14.656639769377822,-4.816739086694645,3.2808668621617283,14.394210405781694,-5.007831947344293,3.539762681744958,4.582069763366726,-10.32302109457684,7.459969373739854,4.736600018620942,-10.09495924291153,8.285429008150881
51,15.001473699499641,-5.00636278816857,3.3591027232128057,14.738970488961773,-5.198620086936894,3.6296999850409954,4.441626421821161,-10.07573239137383,7.5418862556383095,4.735981850753049,-9.932574550255499,8.401214162261528
52,15.347392081457375,-5.20224816670888,3.4593025915773867,15.08330382764888,-5.3936892242036825,3.731647394101942,4.332454196591808,-9.852624659206487,7.646008515021896,4.752400914112923,-9.716063909474851,8.51308381311125
53,15.692827008192312,-5.400802999836415,3.5855578276401756,15.426291717274992,-5.588128945429014,3.8470095683888714,4.353140258875476,-9.63798814557518,7.74213056823917,4.739302665728568,-9.582461670851517,8.62757406681428
54,16.03572629766651,-5.599361891244285,3.7353461061122433,15.767417659562376,-5.779571738437862,3.974748025744722,4.527001308477846,-9.588617490726778,7.850714179164601,4.960329288647352,-9.773559645193366,8.74173127248507
55,16.378334508575318,-5.7914968570267105,3.88728883142273,16.108554974190877,-5.9618062896233965,4.088388297224737,5.0154429425017675,-9.57361020313965,7.978387136502099,5.379539147603435,-9.922012157390004,8.875343224025244
56,16.718134130588847,-5.9798415951013695,4.016706925350064,16.44414638056856,-6.140917098221607,4.181448402359366,5.213150616115018,-9.53122174559916,8.08573939345884,5.43692532482309,-9.846273742670572,8.97884557891238
57,17.049243244078042,-6.172798304467684,4.120742356106253,16.772271097522477,-6.327473675841406,4.255791894095741,5.3711761039886765,-9.493978215672913,8.195058452944075,5.519744932238832,-9.668588693375261,9.083165888911012
58,17.372928680232903,-6.36953584481404,4.1975302016450655,17.09846713480212,-6.523820581764385,4.312606279897802,5.484165849627084,-9.41920634525265,8.303031797685179,5.526630667658656,-9.477704221113363,9.192493285398164
59,17.695796623007674,-6.562381251946188,4.249071683866528,17.424270498958222,-6.7193722300146606,4.353955778228887,5.522382602462796,-9.462325241630099,8.416302083135102,5.448480416719569,-9.403516501647584,9.30518407716735
