frame,x_sp_ma,z_sp_ma,x_sp_lp,z_sp_lp,x_sift_ma,z_sift_ma,x_sift_lp,z_sift_lp
1,-0.036940790406881106,0.12237581968390697,-0.036940790406881106,0.12237581968390697,-0.02962039297284586,0.4655739404528317,-0.02962039297284586,0.4655739404528317
2,-0.06986489923603492,0.21771373534931954,-0.07245293608828304,0.2345262407469653,-0.20162583827529046,0.5973850167201564,-0.11633755575935727,0.7998864650654272
3,-0.09956099961037233,0.2889552755217046,-0.10544995190396882,0.3286508168267307,-0.28720517483155383,0.8226787469283982,-0.16825443270131335,1.1489328119383526
4,-0.12870453325360803,0.3375163268545063,-0.13734473124650357,0.40005439465335335,-0.7476225110802462,1.0949763759722262,-0.5267742013200741,1.5108317545468102
5,-0.15392268868464298,0.3675695821429111,-0.16475728024729808,0.4483268490732186,-1.076276456582185,1.2918001793276053,-0.7741546468804292,1.779121565601294
6,-0.17564366670862488,0.38888625304350194,-0.18751125157384402,0.48253169575923316,-1.355907200099936,1.4494452901979658,-0.9780439489211324,1.9862287755466155
7,-0.1930336715967447,0.40426542496713763,-0.20403441521903845,0.5058375248943876,-1.582173101291764,1.577477737424829,-1.1232295520857323,2.1421028105057944
8,-0.20080927360514528,0.40037235117506437,-0.2111957521028777,0.5220932972932604,-1.940939940424709,1.614907963478633,-1.4304315164723627,2.23343195903891
9,-0.19538520045803148,0.38416577095758253,-0.20414758255225457,0.5311229602557109,-2.1742566478086127,1.7257076767856017,-1.5641740572703533,2.3682988856420253
10,-0.18082243656682026,0.3616888252194784,-0.19042321733766546,0.5344500019673502,-2.428365260181444,1.8079149294158152,-1.6822141670347954,2.5186351842062265
11,-0.1547967292626128,0.34017781343090786,-0.16895239325366174,0.5346887929263053,-2.414131057746967,1.8441034138616212,-1.7181752463715783,2.6574911757107222
12,-0.12528563075208923,0.32800895462844704,-0.14879866652446774,0.5391329423294414,-2.462083088839171,1.906770562242018,-1.7951198309601422,2.784983325920854
13,-0.09648183809431939,0.3465404711733385,-0.1343332041067814,0.5810031937006268,-3.403184282824698,1.988744383338271,-3.1116614647294716,2.90501078762045
14,-0.06693744845033703,0.39744466551258945,-0.12002439934224353,0.6558809385727653,-3.9174960358405917,2.10667675911932,-3.55138464933785,3.0424900811899396
15,-0.035482695593049195,0.4808010706337103,-0.10001728101301544,0.7587052992209945,-4.586175232116669,2.2346062087066976,-4.307891672615119,3.132395116703121
16,-0.0019637372162914987,0.5960792666806876,-0.06823803565506156,0.8818326048198593,-5.4256150051345235,2.329604227548816,-5.041915568827652,3.2209539443123565
17,0.033077048145181295,0.7439134154785481,-0.03262089673745913,1.0219870835265192,-6.137401854786738,2.3704983599698903,-5.461036975301549,3.258065015297195
18,0.0667229082068329,0.9232307271309275,0.004325709757379448,1.1757633007194153,-7.256135541302972,2.4619490289153663,-6.307445392383076,3.3765667647507187
19,0.10410429199653969,1.1294674669959863,0.04214372712145358,1.3406015823093154,-8.473204514501985,2.6048474259519585,-7.169691055419759,3.5602285299338905
20,0.15010399097986205,1.3377054386480123,0.08280460579913979,1.5136271788635223,-8.83779565511587,2.7898292446635478,-7.922259572294761,3.784126507698449
21,0.20333539517875138,1.544004128324973,0.12799298362262837,1.6900551040180714,-9.848497150631415,3.0016392696397736,-8.811831096286081,4.042515935578072
22,0.2577930884892487,1.7384975744249418,0.17499007526222407,1.8595446797236734,-10.424872062989909,3.2586646849677248,-9.326400771988071,4.293726569412037
23,0.3099511486853271,1.907777672533641,0.2247993520555636,1.9995707108893388,-10.721737909370415,3.5611732794975657,-9.473379666526354,4.573616735342813
24,0.3667644495922575,2.047173986781935,0.28140381335709397,2.1115735100012905,-10.796300955772546,3.922115124188334,-9.112573405250913,4.846066098991677
25,0.42718181777611175,2.153554435944225,0.340143195351771,2.19645875563484,-11.285917139606234,4.293896762577174,-9.915209148329248,5.167637445899406
26,0.4920173231144277,2.2288055269858873,0.4014171919893874,2.262239020751578,-11.971986655467523,4.588093416244973,-11.016989135516981,5.404164459943653
27,0.5569496376469515,2.2797822460555084,0.46112409735344756,2.322162134077755,-12.586218982132465,4.847351819967309,-11.860802975571596,5.622175254488392
28,0.6265403267645946,2.3049833900688,0.5275819864340797,2.370403232808383,-12.941299489387333,5.043677118284365,-12.452261217478682,5.785068624431844
