frame,x_sp_ma,z_sp_ma,x_sp_lp,z_sp_lp,x_sift_ma,z_sift_ma,x_sift_lp,z_sift_lp
1,-0.04031855850455073,0.12476267109652531,-0.04031855850455073,0.12476267109652531,-2.739516171012342,1.1832658440154662,-2.739516171012342,1.1832658440154662
2,-0.08195027310136055,0.2208359638395114,-0.08135668575209087,0.23865085673656045,-2.1250329121827507,1.5407303963946908,-4.150635057661755,2.0419136573728576
3,-0.12167456048334643,0.292958585326694,-0.12130462069054043,0.33439577565953826,-1.5829704720389324,1.827357033350068,-5.194609160159379,2.7556550078068227
4,-0.15538338383955888,0.342256495619703,-0.1563954548970785,0.40715646614001816,-0.1398588833753629,1.9580093594364638,-5.200536635312914,3.2591939668498853
5,-0.18686332490718977,0.372453138439553,-0.18897768781892843,0.4560670224373835,0.947461153079338,1.9472636386265454,-5.268970156158027,3.5458626244860216
6,-0.21283251803314915,0.3934420146403451,-0.2146885517174425,0.4902481868441587,1.9363997560146118,1.960140730747506,-5.232329209310672,3.8030814033429565
7,-0.23687001140098662,0.40852678318015195,-0.23779946246060527,0.5135143944775605,2.9906551945120174,1.9908570936263614,-4.9080211496744885,4.035459002635965
8,-0.2488552158379198,0.40391586670462337,-0.24748882085108495,0.5296261830720085,4.285936059676606,1.8704592250221221,-4.864228314869166,4.247928429140347
9,-0.25108431237157014,0.38711278344948297,-0.25008313381644726,0.5385205266931685,5.3256594681754095,1.8241186633805142,-4.386353549194906,4.425086551174514
10,-0.24292556093507192,0.36385375286890315,-0.24485963105209402,0.5417180873499473,5.245349874000733,1.7622377372949627,-5.4959870174679155,4.5754460964914125
11,-0.23085781252152474,0.3414334984620084,-0.23838222307275134,0.5417403196473739,4.482478972341681,1.7672504414545125,-6.509811901863558,4.722488561029953
12,-0.21164431611218798,0.34721520704747455,-0.22775719084755103,0.5719649067043207,3.895874085163461,1.830299028634762,-7.139020590596358,4.805632151110222
13,-0.19038109130296485,0.38406695694632925,-0.21585175649085256,0.6344414350688117,3.043008429538631,1.9425285801312737,-7.923746099098328,4.967169374950162
14,-0.16607861104540408,0.45308630056660165,-0.20462818615195907,0.7255330293962787,1.9100907480482252,1.9738826865067851,-8.651609296286635,5.0108294844221835
15,-0.14081740731795095,0.5542177092544507,-0.18562909361121022,0.8406527390186161,1.2892513006007351,1.9190279634625191,-8.72654048723528,4.951249693817906
