frame,x_sp_ma,y_sp_ma,z_sp_ma,x_sp_lp,y_sp_lp,z_sp_lp,x_sift_ma,y_sift_ma,z_sift_ma,x_sift_lp,y_sift_lp,z_sift_lp
1,0.11453999983268412,0.0555938245511347,-0.10517164078205785,0.11453999983268412,0.0555938245511347,-0.10517164078205785,0.35546548971834757,0.2915399676587035,-1.330749761794231,0.35546548971834757,0.2915399676587035,-1.330749761794231
2,0.21129101640487508,0.08154695709467046,-0.2462039969697308,0.22684094679842895,0.08865786137527373,-0.22508825067494204,0.5560750680881259,0.22393714199501918,-2.0877070203112904,0.6751380827145594,0.4083603620081202,-2.4374266928905755
3,0.28830585266687236,0.08043538422202587,-0.41639567354858653,0.3264064780180318,0.09256534766059256,-0.36631664253876883,0.7966736840612636,0.2278281742815709,-2.5570121492289246,1.018713196021111,0.49032197415305767,-3.29814104224605
4,0.34020887640844194,0.05852418587992815,-0.6095374524798546,0.40135414027191074,0.07105999005901494,-0.5317446703285688,1.1285774360674807,-0.18898700173592728,-3.8646032719908696,1.4250803511034544,0.18704005261968015,-4.751772632367163
5,0.3134012558152185,0.08530997495919966,-0.828014675944512,0.35637908923638595,0.10128296627529074,-0.7282462831152775,0.961635611044287,0.14999185255204148,-4.961005398716775,1.182262906173348,0.44955698507210046,-5.964957628163632
6,0.3278457303743466,0.06090151985812134,-1.0699285187057344,0.38316304776536936,0.07271092899098956,-0.9567491269188131,1.0441607787882003,-0.152457476093568,-5.88389703714585,1.3305813594146492,0.20936996195235402,-6.94490981322172
7,0.33509177698944287,0.04111154254234091,-1.3233202799438204,0.3980468805704126,0.050570928082894775,-1.2045455004953587,1.0732509453718606,-0.4045658744374928,-6.59142259767427,1.4170117418244796,0.020670340656328196,-7.613349307858179
8,0.3269291090300345,0.039027940956507946,-1.6113026505798302,0.4070548452186283,0.0377064288749806,-1.4721335258980972,0.9032347185028503,-0.7134785483786868,-7.9628113251402795,1.3196158392924986,-0.2722607282423627,-9.344485022329149
9,0.31856986202916066,0.058007681906700165,-1.925491090576883,0.4175894109112236,0.039461709508286605,-1.7588693151060415,0.8106432615836157,-0.9428651997004063,-9.104419445178975,1.315179080335876,-0.4496781453637806,-10.444263856822081
10,0.32042834963707495,0.09014165695083251,-2.2614751822105945,0.43232070091280966,0.04879782038680044,-2.064226254847147,0.6445838119328486,-1.1274567151304882,-10.372698625983773,1.2996015614273506,-0.6233733319669896,-11.478505238083287
