frame,x_sp_ma,z_sp_ma,x_sp_lp,z_sp_lp,x_sift_ma,z_sift_ma,x_sift_lp,z_sift_lp
1,-0.1098522964779866,-0.14717491745926026,0.1098522964779866,-0.14717491745926026,-0.08104090896440075,-0.13675242108855823,-0.08104090896440075,-0.13675242108855823
2,-0.16855993787732929,-0.27014283397204086,0.19977613958234916,-0.28537631125072077,0.6151296997891671,0.4758132811553919,0.14841223056088726,0.02556335934327708
3,-0.21862333245962617,-0.3688217234906811,0.27807714239120307,-0.40571307566709053,0.8524472147978326,0.9125431028037501,0.196275118170549,0.172886454969724
4,-0.25893812410586836,-0.44348119062305347,0.3429317412059018,-0.5025027271949001,1.0708340398279454,1.2691656061882801,0.26688437927716935,0.31400504118949063
5,-0.28667831204110705,-0.4998399720268601,0.39024487933868945,-0.5765125436724966,1.247231452668303,1.5611987586001925,0.3254144071322217,0.4341522692708933
6,-0.30672604026470895,-0.5463441612227732,0.4244834609916555,-0.6351866459988539,1.4027312340603915,1.8094562038783373,0.3815310112834436,0.5347702994653913
7,-0.31145062960728026,-0.5865150317779259,0.43441487597423656,-0.6826042717194671,1.6806274534333157,2.0254913353303396,0.6295849734901637,0.620887714904792
8,-0.28686515658641387,-0.6077767950297132,0.4234093374953593,-0.7236117246612211,2.006445545903913,2.268361140462119,0.8784476127454526,0.6993948264811216
9,-0.23561051379103137,-0.6238136039227715,0.37846560209446534,-0.7684478221244802,2.0910717957682325,2.3046027124703956,1.0336106914270413,0.7447300293539602
10,-0.15228631766291859,-0.6492766565790092,0.3044055584629346,-0.8277834581986212,2.2315497744690918,2.95337234687279,1.1009879811557846,1.6564671788134464
11,-0.0541908088531521,-0.6995387930560694,0.22692996091602602,-0.9105402863023504,2.2500604525028374,3.5503664760145446,1.016012749474104,2.3360087900991138
12,0.043987797571431314,-0.7822205243056058,0.1601047597238632,-1.0189505540594164,2.332810364600372,4.138213376088419,1.0405603134283778,2.875613821856409
13,0.15379911140541236,-0.9024354164321994,0.08649657764066458,-1.157279523239648,2.4004198477102343,4.705787905588763,1.0479298789969638,3.2827266865319173
14,0.26240691134561545,-1.0605625863322876,0.011644533748694355,-1.321960404930605,2.4101282032525715,5.266211310105529,1.1758924708501635,3.6062868297545503
15,0.3643465336327259,-1.255224841087255,-0.05725834844551615,-1.507227672987524,2.379717648997292,5.814373364688301,1.2728421453178853,3.8537682469015473
16,0.4445876119024513,-1.4795296837764185,-0.11859328327469072,-1.7095559080414946,2.4964319613104684,6.3471795638853195,1.512912375909956,4.01473272430677
17,0.4981904252478489,-1.7251230490188492,-0.16832831801130085,-1.9245451340439925,2.6519809804637804,6.228869511299185,1.7020854608277298,4.107264885625444
18,0.5397876666983835,-1.9784695279321736,-0.2092274400700917,-2.1423494847510907,2.909200021545583,6.130461770309515,1.857223442736997,4.156598405536209
19,0.5891629296245098,-2.230958741649731,-0.25790719993002936,-2.357723393081748,3.0813172084432505,6.023030011675561,1.9543044049542622,4.181744584435183
20,0.6270171104853521,-2.4732508334851335,-0.3008896620771838,-2.567398904840821,3.266051253359095,5.925336857330006,2.037352021873092,4.190899841667058
21,0.6605048742000977,-2.6936013070468574,-0.34542409609257024,-2.7581052397708667,3.3890339527056175,5.832043188913801,2.13941690730899,4.204839866500946
22,0.6957264064714026,-2.8806031936788083,-0.3921907184757245,-2.9189848563927523,3.4603026459337363,5.754666150756054,2.144401471122133,4.222452970572941
