frame,x_sp_ma,z_sp_ma,x_sp_lp,z_sp_lp,x_sift_ma,z_sift_ma,x_sift_lp,z_sift_lp
1,0.00842478589198963,0.11879756389938485,0.00842478589198963,0.11879756389938485,0.0,0.0,0.0,0.0
2,0.018083230104371,0.19254275255110415,0.018241520986744218,0.21957999401276163,0.0,0.0,0.0,0.0
3,0.02448502649733865,0.23634084419093232,0.026610007223991324,0.29699845515165246,0.0,0.0,0.0,0.0
4,0.03710546607601173,0.288560064133843,0.0400729094905871,0.3744215515604057,0.0,0.0,0.0,0.0
5,0.04964128158810123,0.33610808360615585,0.05360100530270486,0.442114073372764,0.0,0.0,0.0,0.0
6,0.060689033382576286,0.3805629809985356,0.06537105081523444,0.5020768344924998,0.0,0.0,0.0,0.0
7,0.0711568167700652,0.42280943557211514,0.07634891148037781,0.5558327833838071,0.0015809054374172568,-3.979327464562436e-07,0.002213093298826637,-7.798934682504669e-07
8,0.08140698935068497,0.44857869439061326,0.08734814085598075,0.5995531248869386,0.003161499540021518,-1.1936586471682653e-06,0.003983177282942457,-1.902719397911952e-06
9,0.09143720685994088,0.4744715695062976,0.09826410858729592,0.6403301359078563,0.004741782105830767,-2.387038041847845e-06,0.005398994287637584,-3.1201702378629154e-06
10,0.10278107791893891,0.5067451586511775,0.10872613983807702,0.678626710358889,0.006321752932916311,-3.977931202142909e-06,0.006531487690874,-4.298354667694896e-06
11,0.10905566080129868,0.526653703835718,0.1162643832571607,0.7074698511756954,0.007901411819402817,-5.966198331661451e-06,0.007437379842306265,-5.371575759380346e-06
12,0.1137137551302014,0.5443321057248369,0.12247561575698815,0.733180308090402,0.009480758563468342,-8.35169956599546e-06,0.008162027895989033,-6.313768514530811e-06
13,0.11997251559677156,0.5595605521812683,0.13032267584757645,0.7561085793462914,0.011059792963344374,-1.113429497274485e-05,0.008741704300535892,-7.121029104573736e-06
14,0.12150770903367288,0.5732566872711512,0.13144462327317682,0.7782329871618962,0.011059792963344374,-1.113429497274485e-05,0.009205418513852178,-7.801077680319576e-06
15,0.12425561025252001,0.5919073652403001,0.13633212097768435,0.8034671496608992,0.011059792963344374,-1.113429497274485e-05,0.009576372658958117,-8.367028167556938e-06
16,0.12564157503041878,0.606384345540049,0.14026303331049492,0.8236501377474182,0.011059792963344374,-1.113429497274485e-05,0.009873124949186766,-8.833810953931552e-06
17,0.12422201415976337,0.6140932922730226,0.14094196720340962,0.8360940039167983,0.011059792963344374,-1.113429497274485e-05,0.010110519724050766,-9.2162109820296e-06
18,0.12221914028533115,0.6236362459489263,0.1398095562805479,0.8468717295490283,0.011059792963344374,-1.113429497274485e-05,0.010300431026863113,-9.527873962020936e-06
19,0.12157574042191664,0.6376352822620738,0.14114138717459282,0.8643271395968349,0.011059792963344374,-1.113429497274485e-05,0.010452357177980424,-9.780879698604754e-06
