frame,x_sp_ma,y_sp_ma,z_sp_ma,x_sp_lp,y_sp_lp,z_sp_lp,x_sift_ma,y_sift_ma,z_sift_ma,x_sift_lp,y_sift_lp,z_sift_lp
1,0.10213195929122341,0.04422281629691389,0.12200231278459081,0.10213195929122341,0.04422281629691389,0.12200231278459081,0.9980716581570934,0.8805559395155228,0.4590429154295169,0.9980716581570934,0.8805559395155228,0.4590429154295169
2,0.23725927965866167,0.09545041093470337,0.217085385023362,0.22106078967669993,0.08165413102482386,0.23398247410612105,1.7219895455501475,1.1575749790357,0.5894345572198277,1.9653601049690907,1.423864144797364,0.7903141876629498
3,0.40643195058776704,0.12941899296806003,0.28867079010562063,0.36434976730761015,0.10220467274396727,0.328428047052091,2.18974406255765,1.2479332497329518,0.8156893536430687,2.785990562838837,1.6874184339256626,1.1405934246068388
4,0.6017015550589913,0.1273587180862681,0.3370785177129213,0.5325458343810575,0.0936107994805118,0.399718251320785,3.547848587708179,0.9732084902274294,1.0872918962681988,4.274731647700883,1.5340049194403396,1.5015273025869624
5,0.3854165737694515,0.1670246036709172,0.36564158093562577,0.33833489256034177,0.13397817948084323,0.4466400164603729,2.47614041664571,1.3736901831298645,1.2768436565171737,3.0809867186027535,1.8611620653287893,1.7615937009526834
6,0.6151562576504868,0.08861498760856551,0.3855998525143131,0.5548140509628405,0.057826660652304726,0.47957952970530965,3.304810790336685,0.8840931196602825,1.4305157203429204,3.9835889435106897,1.4317877962292258,1.9639335518807641
7,0.8415171728098131,-0.02627963939287417,0.40014268000688574,0.7763943410616067,-0.05402760879739346,0.5020639314649032,3.8663638905244175,0.40087748961840525,1.5576301241736301,4.541535521276217,1.038435320590335,2.118395723104367
8,1.077173851150321,-0.19192769678872068,0.39453310110817386,0.995455873051541,-0.2078042721477652,0.516719071073927,4.80954726942584,-0.6548149274093302,1.5885854748476023,5.813401340543711,-0.17305068184604755,2.2007634264401266
9,1.3007181399674006,-0.4128220839233343,0.3750882026916432,1.2010779448959377,-0.40783974528138667,0.5227889932943498,5.440552400647923,-1.6326542485092412,1.6892000857128706,6.486868669900501,-1.0516560438181966,2.3252804282090813
10,1.4914836104372358,-0.6900088690799573,0.34868029534905737,1.3751160426788227,-0.6593506083628023,0.5225424336543011,5.898541595118952,-2.8390363375891168,1.7604040304423156,6.937325575984455,-1.9883932935335369,2.4655651829565843
11,1.6395853035991799,-1.0043501457292083,0.32353557824248264,1.5065383203101679,-0.9415713911186319,0.5195513480866272,6.218126531332119,-3.628830924539604,1.7887340546879047,7.26948529909165,-2.944147854667458,2.5962321033185933
12,1.7373408161057942,-1.3503521090982589,0.3087763325320387,1.5902116870830643,-1.2616438481352332,0.5218422971003415,6.3357666655252,-4.464370074598686,1.8491871677500789,7.362306291009355,-3.7926740118374367,2.7224367696144443
13,1.7716744962367101,-1.7159884126596314,0.3254622433377995,1.6106978521016588,-1.6061621051284867,0.5623699633431685,5.411428672974941,-5.454943465294093,1.9596094672480318,6.062673702340577,-4.681511676937582,2.883459468178343
14,1.7313851269277925,-2.0911484643466736,0.3745710297151854,1.5598065407475272,-1.9593958569892167,0.6359207188689948,4.741488195307221,-6.238789689453814,2.0900608070501328,5.545864350540171,-5.064973670318642,3.0323250292853343
15,1.623717378563758,-2.458831870196401,0.45647367377989456,1.4497835085605482,-2.303294589124975,0.7376682681614465,4.076328300045067,-6.1132596327719355,2.2377202136370005,4.664092204211693,-5.248221149627977,3.1440325937802203
16,1.4762845281857893,-2.8210680789360483,0.5687492659515745,1.3081743620651547,-2.651160549659801,0.8579127980176349,3.1847163216588834,-6.015192622231855,2.357255735045941,3.834730121521196,-5.257991603211099,3.2535316499445055
17,1.3131777781963014,-3.1898554977568634,0.7093844008730679,1.1507797787373515,-3.010584709129569,0.9910285998763636,2.3252262113406053,-6.0940494978345985,2.407875846938023,3.1304695609200976,-5.657373169355047,3.2900222254840306
