frame,x_sp_ma,z_sp_ma,x_sp_lp,z_sp_lp,x_sift_ma,z_sift_ma,x_sift_lp,z_sift_lp
1,-0.043322309602382265,0.12192567157925319,-0.043322309602382265,0.12192567157925319,-0.875654539500677,0.4606933218916962,-0.875654539500677,0.4606933218916962
2,-0.09311338733349472,0.21683349018166007,-0.07929943251015664,0.23369946379788284,-1.14752501694638,0.5901746058754027,-1.411020843791123,0.79190351888729
3,-0.12588943141942838,0.28826508054301286,-0.09869104703268229,0.32797821504168356,-1.2344612102634984,0.815988119232364,-1.6687746778715522,1.141871072336414
4,-0.12349057163486811,0.3366307973597627,-0.08976121005254009,0.3992219849331135,-0.9574796105845659,1.086908506942254,-1.5127922417819128,1.5022784001226244
5,-0.1634327202877006,0.3681411193732031,-0.13039175098744513,0.4487847404068528,-1.3593640922670946,1.2909115458243465,-1.8415467521782694,1.7785233414219177
6,-0.08356332639106967,0.38804427742604375,-0.05280341603216307,0.481662314577447,-0.8641526488768774,1.4434847296589648,-1.405902595996564,1.9801177865336541
7,0.03320495053551897,0.40255339096015874,0.060932555267027996,0.5041170992822643,-0.37577316713449616,1.5693657088862167,-1.0072527603816537,2.133856388781679
8,0.20009034299986994,0.3972218534924607,0.21587986534535258,0.5190308677859888,0.6849207676830946,1.601025748885712,0.21102257033056593,2.2173946154329447
9,0.4223609907715326,0.378732199656248,0.41710653277721876,0.5259695058580384,1.666151465361657,1.7054396897752364,1.0931977177653511,2.34545238290382
10,0.7019080995571877,0.35411955580689847,0.6706982390986831,0.5273562875729856,2.877748416617769,1.7825656707546707,2.0348694544740877,2.490815043968743
11,1.0195756832399958,0.3313125189933071,0.9558639484420732,0.5264369748489413,3.674666118431236,1.815923050073615,2.9979609010454786,2.6266863193039773
12,1.3685892043890793,0.3186925901630773,1.278515986764399,0.5305066566779598,4.513680192998169,1.878107793026476,3.849204275305164,2.753858876092722
13,1.7351022912727063,0.33713718068594506,1.6233983320622711,0.5723188133005237,5.473132293927195,1.9623029698060201,4.694540118844646,2.877008723110825
14,2.1085263497203255,0.3881279737621025,1.9743949215027334,0.6473036957569736,6.236374457690822,2.081834996671339,5.061795651286399,3.01571203407117
15,2.4717849647094,0.47170550904118713,2.313555250590327,0.7503682102777659,6.089382723156313,2.2108202080974486,5.217497150016828,3.1069525220949816
16,2.8270636413633836,0.58763864650741,2.6544993692553716,0.87411984162891,5.96154436512075,2.3100127967166215,5.199540470317248,3.1994128429597923
17,3.188092247079713,0.738015363616287,3.0065006300442225,1.016728026528332,6.018338768710376,2.3643751960612494,5.580764872809232,3.2475575071102334
18,3.56431280028121,0.9213684304834362,3.369074050106556,1.174270981545922,5.769463740841743,2.4829055428574556,5.633074291466228,3.389712072181173
19,3.9489917187544377,1.1314909011464491,3.743118226662627,1.3428502019725568,5.29800085085055,2.651922818901187,5.37019830602898,3.592777213800977
20,4.338592132501717,1.3433061019445085,4.1201397126616,1.5194585417123458,5.010452493993826,2.842561643640568,4.971011983189893,3.830926242075545
21,4.733839909601211,1.5540177266041406,4.501500094850311,1.700313572174872,4.9941031949022365,3.08440611673614,5.153088260779808,4.118713050655877
22,5.132824061045379,1.752892318536397,4.883791345298061,1.8741835448651087,5.088458044347591,3.360500954591597,5.343683301081601,4.388605605572453
23,5.534929876924926,1.9262244456513316,5.273774158110738,2.0181580116025577,5.144116442829915,3.671419103231379,5.376633764313044,4.672739272784211
24,5.935025040193364,2.068744318289071,5.6661571342244255,2.1332234291359833,4.990471231785603,4.031960100927892,5.524156692500367,4.93912610336798
25,6.336526294968699,2.1782352282979,6.059292456175662,2.2211669713320874,4.513071780516468,4.408370605684685,4.904824744371127,5.270118528437612
