frame,vx_sp_ma,vy_sp_ma,vz_sp_ma,vx_sp_lp,vy_sp_lp,vz_sp_lp,vx_sift_ma,vy_sift_ma,vz_sift_ma,vx_sift_lp,vy_sift_lp,vz_sift_lp
11,0.025922019227277243,-0.3455775944769682,-0.02142531054636765,0.02138528295217758,-0.30954088635732147,0.00023783960055275433,0.014177492464606882,-0.8486997560810694,0.036044307216908975,-0.03581780810433633,-1.0066834553191362,0.13830278038285168
12,0.02951109851052355,-0.35819832572119426,-0.012168858802460835,0.020153726729194004,-0.32997933788478984,0.004444149403136055,-0.04795203109220376,-0.8417088582663661,0.0626671483803967,-0.07694458458856385,-0.8493580238766014,0.1274921502101316
13,0.02880379265776985,-0.36612733331400266,0.018531516544891498,0.014465462417686332,-0.34476050147235127,0.04187025137118534,-0.941101193985527,-0.9779908453464453,0.08197382109625298,-1.3165416337693296,-0.8710398666171225,0.12002746169959606
14,0.02966304181125153,-0.37753841889460704,0.05110862885471142,0.014366269843925276,-0.35785384447147206,0.07517845870702784,-0.516377262064573,-0.8993851157110858,0.11840599978026685,-0.44148914117343174,-0.4754884899989662,0.13803141924658824
15,0.03136067084473446,-0.38006709704738384,0.08310708386946167,0.019947276499716747,-0.35883402344894133,0.10251681021751399,-0.6666791587992716,-0.12519023651692715,0.12754680915982008,-0.7542442904055917,-0.490397499465152,0.0896361271317315
16,0.033518958376757696,-0.38898303608915974,0.11527819604697731,0.03177924535795388,-0.37350441386154454,0.12312730559886477,-0.8394397730178549,-0.32557728960441096,0.09499801884211836,-0.734023896212533,-0.3924061599588359,0.08855882760923546
17,0.035040785361472794,-0.3992068907660033,0.14783414879786044,0.03561713891760243,-0.3883629458948179,0.14015447870665987,-0.7117868496522144,-0.4893345080375116,0.040894132421074376,-0.4191214064738968,-0.6928246693615425,0.037111070984838186
18,0.0336458600616516,-0.4136317522477741,0.17931731165237946,0.03694660649483858,-0.3960581488259577,0.15377621719289594,-1.1187336865162336,-0.3508751213816108,0.09145066894547609,-0.8464084170815269,-0.5422689923339201,0.1185017494535237
19,0.03734403974994923,-0.41875853474119573,0.20603070915586105,0.037780237126939495,-0.406370643350489,0.1646736079818848,-1.2158531200786862,-0.13689609440486497,0.14275564139516816,-0.8613842787577501,-0.17825581572098448,0.18347828689623816
20,0.04595374523807492,-0.422408650978757,0.20802994171027325,0.040620258419258676,-0.4109837085774965,0.17285274381036142,-0.3642269137001121,0.12259589317924806,0.1847970216898617,-0.7518167001746751,0.029130682525129376,0.22367430346105222
21,0.05270436059304325,-0.42326327625764354,0.20425612839335408,0.04474096814213882,-0.41202888554602934,0.17468111401468187,-1.000694550016976,-0.5751097124189465,0.20971289601639762,-0.8807638851413171,-0.7321398985226371,0.25583111671290343
22,0.0550077710206154,-0.43808970367808203,0.19645802636328716,0.047471809736888596,-0.4229310546972011,0.17120159162154353,-0.5821968811692543,-0.4634843526645938,0.25962163164397545,-0.5197673491930899,-0.539443122627995,0.25374811498339267
23,0.052158060196078375,-0.43943060317415517,0.16928009810869926,0.049809276793339526,-0.4266592981546547,0.1400260311656653,-0.2968658463805048,-0.24704469578753124,0.3025085945298408,-0.1469788945382821,-0.12862713886122262,0.2798901659307758
24,0.056927155217388385,-0.4382754149539076,0.1396756655795102,0.056717897095744964,-0.4292695898209595,0.11222725361923565,-0.07471247134485173,0.13502571097071506,0.361665175040998,0.36152931991541815,0.053097116978092884,0.27299535435769057
25,0.06047784602989646,-0.4397843377833238,0.10648693609841,0.05879818017486391,-0.4308959559280537,0.08497021584941629,-0.490106290123912,0.2518784284544755,0.37215379218109657,-0.8034391822607589,0.2180622412150528,0.3218932401479436
26,0.064641580596487,-0.43897724975432956,0.07502601300260858,0.061090724464186535,-0.4331109657915738,0.06558351457297906,-0.6840174634704594,0.00712016151658555,0.29331670355694955,-1.0984845335863023,0.087347597405148,0.23581955537796834
27,0.06499731184438141,-0.43926277071317327,0.051027746816447984,0.059766672036108456,-0.43277569587274556,0.05998309642261199,-0.6148471738389054,-0.2406318467693827,0.25951792164403215,-0.8446584985533412,-0.1052393985743203,0.21822902356835194
28,0.06952116794967922,-0.4419377663655172,0.02517596804524133,0.06639149758303559,-0.43320746929551,0.04819290582479299,-0.3547257814733224,0.13734124873237138,0.1961291691478688,-0.5908673745324338,-0.31047362969974096,0.16273063930411455
29,0.07249325454019817,-0.43682994159668004,0.0028543453858880102,0.06895315451633252,-0.43272296702041363,0.038760753346537793,-0.9316046627287512,0.06578180223447258,0.12168161288597945,-1.0954805744635836,-0.3022933326667363,0.0750411542897165
30,0.06961299643254028,-0.4382046212947313,0.0060340074543153285,0.06296199126617365,-0.4364173795904965,0.038524887441458974,-0.6299511238680084,-0.5397314662103041,0.05829286038981614,-0.1852345203496374,-0.7866258827149031,0.04818034388120619
31,0.06260316296597365,-0.4349266604187183,0.03675261970623427,0.057426301820818974,-0.43248690974321474,0.07403239579255709,-0.9107553179478902,-0.968933147218898,0.03351319275233565,-0.06220105244550059,-1.074184231516883,0.05293596202556218
32,0.05776329358075361,-0.42474931127095666,0.06667733650644707,0.052589086815615055,-0.4192215230589916,0.09630893310837135,-0.09225663993950513,-1.1938689588542886,-0.012532338577017755,0.0034746690622451046,-0.9986729738704749,0.08138198242114617
33,0.0547001191639098,-0.40441762386499225,0.09172776678842316,0.05183500559320612,-0.395307057127974,0.10972509077490963,0.22132552726591012,-0.9733042272382267,0.04504469244222753,-0.013938418440317653,-0.5772499504007873,0.12401839262347378
34,0.0545124914799373,-0.3776633534676767,0.10687028415204315,0.05209941818176262,-0.3650765903856239,0.11649588169322445,0.19790889257902025,-0.6916366600289778,-0.0022822542601199014,-0.00980489499819925,-0.24258284272612018,0.06253036798146985
35,0.04588509220897493,-0.3496992458175142,0.1332107040003448,0.0481793355202116,-0.33989843419558524,0.13027972182890524,0.14163113619586312,-0.5645067991305157,0.01968741393140681,-0.0017733506247402282,-0.24236657976333392,0.06892925030274627
36,0.03831797512284795,-0.32847664563940704,0.15640464371570847,0.04378946094549556,-0.3283640986911238,0.13690172175133675,0.6173427560047132,-0.5007952658857712,0.059279122010114114,0.04179091239496174,-0.1586115461749686,0.05542843439881212
37,0.037179400108625534,-0.3099488833379334,0.15476315283588682,0.041237031389592685,-0.32699141770500156,0.11473957493354779,-0.05254283567092415,0.08755716836476314,0.08124879020164084,-0.21325715920869354,0.1520129544292593,0.06324770343662009
38,0.041440056923925064,-0.29838170368159433,0.12598807468478193,0.046011253460973546,-0.328752088715944,0.09471903637468135,-0.32655020257992246,0.5792128521554193,0.128666399929089,-0.4682294772053432,0.3650447955053656,0.1313745032883207
39,0.046413440532665794,-0.29464927552875514,0.09798592529597498,0.050419785179975744,-0.3310082668232002,0.07365523642974105,-0.279169904421288,0.6663202117931134,0.15031294193316244,-0.2550156533235406,0.274660551240096,0.17443797423705587
40,0.04674488887534512,-0.30547933149426637,0.07246400312359903,0.05056359196444572,-0.33989853049105656,0.05587144239067906,-0.2979926105540059,0.0186589048311914,0.1164741562047973,-0.2470824649347514,-0.46530896005902156,0.15108888605649032
41,0.046592226254668946,-0.3255785260780364,0.051465945971601305,0.05086855960980766,-0.34888864149336796,0.044015682973043174,-0.5875479477394757,-0.19415242972745456,0.22024697241835128,-0.6016976042534039,-0.4509659188348119,0.22946870542685865
