timestamp,vx_sp_ma,vy_sp_ma,vz_sp_ma,vx_sp_lp,vy_sp_lp,vz_sp_lp,vx_sift_ma,vy_sift_ma,vz_sift_ma,vx_sift_lp,vy_sift_lp,vz_sift_lp
0.054407,0.012647,-0.022933,-0.061658,0.012647,-0.022933,-0.061658,-0.007299,0.001934,0.006796,-0.007299,0.001934,0.006796
0.108814,0.006323,-0.011467,-0.030829,0.010118,-0.018346,-0.049327,-0.001341,-0.001105,0.000048,-0.004916,0.000718,0.004097
0.163221,0.004216,-0.007644,-0.020553,0.008094,-0.014677,-0.039461,0.000387,-0.001681,-0.001486,-0.003164,0.000008,0.002367
0.217628,0.003103,-0.013042,-0.015415,0.006428,-0.017589,-0.031569,-0.000304,-0.001265,-0.002253,-0.003006,0.000003,0.000982
0.272035,0.002482,-0.010433,-0.012332,0.005142,-0.014071,-0.025255,0.001088,-0.002661,-0.001578,-0.001074,-0.001647,0.001010
0.326442,0.002069,-0.008695,-0.010276,0.004114,-0.011257,-0.020204,-0.002033,-0.000466,0.002222,-0.004388,0.000784,0.005052
0.380849,0.001773,-0.007452,-0.008808,0.003291,-0.009005,-0.016163,-0.002462,0.000158,0.002916,-0.004516,0.001409,0.005458
0.435256,-0.000034,-0.004176,0.000000,0.002633,-0.007204,-0.012931,-0.002445,0.000066,0.002659,-0.005049,0.001384,0.005365
0.489663,-0.000034,-0.004176,0.000000,0.002106,-0.005763,-0.010345,-0.002801,-0.000135,0.003292,-0.003615,-0.000003,0.003840
0.544070,-0.000034,-0.004176,0.000000,0.001685,-0.004611,-0.008276,-0.003951,0.001164,0.005594,-0.003733,0.001249,0.005383
0.598477,0.000000,0.000000,0.000000,0.001348,-0.003689,-0.006621,-0.003228,0.000794,0.006084,-0.002450,0.000478,0.004082
0.652884,0.000000,0.000000,0.000000,0.001078,-0.002951,-0.005296,-0.003618,0.001630,0.005411,-0.001175,-0.000095,0.002547
0.707291,0.000000,0.000000,0.000000,0.000863,-0.002361,-0.004237,-0.001254,0.000200,0.002561,-0.001158,0.000023,0.002293
0.761697,0.000000,0.000000,0.000000,0.000690,-0.001889,-0.003390,-0.001318,-0.000007,0.001389,-0.002022,0.000510,0.001609
0.816104,0.000000,0.000000,0.000000,0.000552,-0.001511,-0.002712,-0.000059,-0.000510,-0.000073,-0.001292,-0.000039,0.000240
0.870511,0.000000,0.000000,0.000000,0.000442,-0.001209,-0.002169,0.000595,-0.000545,0.000090,0.000307,-0.001191,-0.000033
0.924918,0.000000,0.000000,0.000000,0.000353,-0.000967,-0.001736,0.000388,-0.001095,-0.001045,-0.000885,-0.000471,0.000696
0.979325,0.000000,0.000000,0.000000,0.000283,-0.000774,-0.001388,-0.000547,-0.000423,-0.000643,-0.001480,0.000043,0.000894
1.033732,0.000000,0.000000,0.000000,0.000226,-0.000619,-0.001111,-0.000925,0.000296,0.000464,-0.000929,0.000563,0.001548
1.088139,-0.000834,0.000854,0.000000,-0.000987,0.000700,-0.000889,0.000671,-0.000573,0.000523,0.001274,-0.000667,0.001576
1.142546,-0.000834,0.000854,0.000000,-0.000789,0.000560,-0.000711,0.001211,-0.000428,0.001660,0.000679,0.000161,0.002627
1.196953,-0.000834,0.000854,0.000000,-0.000632,0.000448,-0.000569,0.002332,-0.001141,0.002924,0.002439,-0.001316,0.002824
1.251360,-0.000834,0.000854,0.000000,-0.000505,0.000358,-0.000455,0.002572,-0.000824,0.001966,0.003627,-0.001769,0.000693
1.305767,-0.001437,-0.000969,0.000000,-0.001248,-0.002265,-0.000364,0.004515,-0.001467,0.000047,0.004491,-0.001833,-0.001410
1.360174,-0.001437,-0.000969,0.000000,-0.000999,-0.001812,-0.000291,0.004367,-0.000926,-0.001597,0.002613,-0.000290,-0.003092
1.414581,-0.001437,-0.000969,0.000000,-0.000799,-0.001450,-0.000233,0.004115,-0.001125,-0.002553,0.001994,0.000019,-0.002980
1.468988,-0.000603,-0.001823,0.000000,-0.000639,-0.001160,-0.000186,0.002493,0.000142,-0.002624,0.001341,0.000671,-0.002145
1.523395,-0.000564,-0.002186,0.000000,-0.000456,-0.001436,-0.000149,0.003816,-0.001084,-0.005704,0.002585,-0.000485,-0.004661
1.577802,-0.000564,-0.002186,0.000000,-0.000365,-0.001149,-0.000119,0.002961,-0.000086,-0.006163,0.002766,-0.000436,-0.003649
1.632209,-0.000564,-0.002186,0.000000,-0.000292,-0.000919,-0.000095,0.001606,0.000699,-0.004511,0.001991,0.000035,-0.002173
1.686616,0.000039,-0.000363,0.000000,-0.000234,-0.000735,-0.000076,0.000166,0.001527,-0.002031,0.001168,0.000768,-0.000231
1.741023,0.000039,-0.000363,0.000000,-0.000187,-0.000588,-0.000061,0.001160,0.000296,-0.001196,0.001346,0.000068,-0.000980
1.795430,0.000039,-0.000363,0.000000,-0.000150,-0.000471,-0.000049,0.001594,-0.000073,-0.001104,0.001587,-0.000211,-0.001161
1.849837,0.000039,-0.000363,0.000000,-0.000120,-0.000377,-0.000039,0.002062,-0.000726,-0.001653,0.001671,-0.000427,-0.001459
